,agency,complaint_type,days_to_closure,number_of_records,past_number_of_weeks,created_after_timestamp
78,NYPD,Disorderly Youth,1.0,6,4,2017-07-23T20:58:53.590647
79,NYPD,Drinking,3.0,1,4,2017-07-23T20:58:53.590647
80,NYPD,Noise - Residential,5.0,14,4,2017-07-23T20:58:53.590647
81,NYPD,Homeless Encampment,1.0,50,4,2017-07-23T20:58:53.590647
82,NYPD,Noise - Park,1.0,162,4,2017-07-23T20:58:53.590647
83,NYPD,Derelict Vehicle,4.0,15,4,2017-07-23T20:58:53.590647
84,NYPD,Noise - Commercial,4.0,12,4,2017-07-23T20:58:53.590647
85,NYPD,Illegal Fireworks,0.0,11,4,2017-07-23T20:58:53.590647
86,NYPD,Blocked Driveway,4.0,3,4,2017-07-23T20:58:53.590647
87,NYPD,Bike/Roller/Skate Chronic,0.0,35,4,2017-07-23T20:58:53.590647
88,NYPD,Illegal Parking,5.0,5,4,2017-07-23T20:58:53.590647
89,NYPD,Derelict Vehicle,10.0,1,4,2017-07-23T20:58:53.590647
90,NYPD,Vending,0.0,582,4,2017-07-23T20:58:53.590647
91,NYPD,Illegal Parking,11.0,2,4,2017-07-23T20:58:53.590647
92,NYPD,Noise - Vehicle,3.0,19,4,2017-07-23T20:58:53.590647
93,NYPD,Non-Emergency Police Matter,3.0,1,4,2017-07-23T20:58:53.590647
