,agency,days_to_closure,number_of_records,past_number_of_weeks,created_after_timestamp
103,DOT,12.0,58,4,2017-07-24T20:44:41.174009
104,DPR,9.0,99,4,2017-07-24T20:44:41.174009
105,NYPD,5.0,62,4,2017-07-24T20:44:41.174009
106,TLC,13.0,19,4,2017-07-24T20:44:41.174009
107,DOHMH,8.0,163,4,2017-07-24T20:44:41.174009
108,DOB,16.0,19,4,2017-07-24T20:44:41.174009
109,DOF,6.0,110,4,2017-07-24T20:44:41.174009
110,DSNY,6.0,216,4,2017-07-24T20:44:41.174009
111,DOT,10.0,87,4,2017-07-24T20:44:41.174009
112,HPD,8.0,1181,4,2017-07-24T20:44:41.174009
113,DOF,4.0,131,4,2017-07-24T20:44:41.174009
114,DCA,14.0,1,4,2017-07-24T20:44:41.174009
115,DFTA,7.0,75,4,2017-07-24T20:44:41.174009
116,DSNY,4.0,741,4,2017-07-24T20:44:41.174009
117,DCA,15.0,4,4,2017-07-24T20:44:41.174009
118,DOF,13.0,34,4,2017-07-24T20:44:41.174009
119,DHS,5.0,10,4,2017-07-24T20:44:41.174009
120,EDC,3.0,1,4,2017-07-24T20:44:41.174009
121,DEP,19.0,6,4,2017-07-24T20:44:41.174009
122,DOB,10.0,79,4,2017-07-24T20:44:41.174009
123,DSNY,13.0,14,4,2017-07-24T20:44:41.174009
124,DPR,23.0,5,4,2017-07-24T20:44:41.174009
125,TLC,6.0,2,4,2017-07-24T20:44:41.174009
126,NYCEM,0.0,2,4,2017-07-24T20:44:41.174009
127,DOB,12.0,41,4,2017-07-24T20:44:41.174009
128,HPD,22.0,68,4,2017-07-24T20:44:41.174009
129,DOE,8.0,2,4,2017-07-24T20:44:41.174009
130,DOITT,7.0,1,4,2017-07-24T20:44:41.174009
131,DEP,5.0,241,4,2017-07-24T20:44:41.174009
132,DPR,1.0,540,4,2017-07-24T20:44:41.174009
133,EDC,15.0,1,4,2017-07-24T20:44:41.174009
134,DCA,0.0,14,4,2017-07-24T20:44:41.174009
135,DOT,16.0,17,4,2017-07-24T20:44:41.174009
136,DEP,11.0,32,4,2017-07-24T20:44:41.174009
137,TLC,4.0,8,4,2017-07-24T20:44:41.174009
138,DOE,15.0,1,4,2017-07-24T20:44:41.174009
139,HPD,0.0,141,4,2017-07-24T20:44:41.174009
140,DOE,14.0,2,4,2017-07-24T20:44:41.174009
141,DOT,23.0,4,4,2017-07-24T20:44:41.174009
142,DSNY,17.0,1,4,2017-07-24T20:44:41.174009
143,DOF,17.0,4,4,2017-07-24T20:44:41.174009
144,EDC,8.0,2,4,2017-07-24T20:44:41.174009
145,DOITT,5.0,3,4,2017-07-24T20:44:41.174009
146,DOB,9.0,110,4,2017-07-24T20:44:41.174009
147,HPD,24.0,4,4,2017-07-24T20:44:41.174009
148,DOITT,11.0,5,4,2017-07-24T20:44:41.174009
149,DOT,1.0,3584,4,2017-07-24T20:44:41.174009
150,TLC,2.0,23,4,2017-07-24T20:44:41.174009
151,DOHMH,0.0,229,4,2017-07-24T20:44:41.174009
152,DPR,16.0,23,4,2017-07-24T20:44:41.174009
153,DEP,7.0,334,4,2017-07-24T20:44:41.174009
154,DOT,13.0,50,4,2017-07-24T20:44:41.174009
155,TLC,12.0,7,4,2017-07-24T20:44:41.174009
156,DOHMH,7.0,168,4,2017-07-24T20:44:41.174009
157,DPR,17.0,6,4,2017-07-24T20:44:41.174009
158,DOB,4.0,230,4,2017-07-24T20:44:41.174009
159,NYPD,3.0,176,4,2017-07-24T20:44:41.174009
160,DEP,0.0,3999,4,2017-07-24T20:44:41.174009
161,TLC,10.0,4,4,2017-07-24T20:44:41.174009
162,DOITT,22.0,3,4,2017-07-24T20:44:41.174009
163,HPD,7.0,1366,4,2017-07-24T20:44:41.174009
164,DHS,0.0,1704,4,2017-07-24T20:44:41.174009
165,DEP,24.0,8,4,2017-07-24T20:44:41.174009
166,DOB,6.0,192,4,2017-07-24T20:44:41.174009
167,DOF,16.0,18,4,2017-07-24T20:44:41.174009
