,agency,borough,closed,complaint_type,total,perc_closed,closed_within_a_day,number_of_records,past_number_of_weeks,created_after_timestamp,overall_closed_within_a_day
56,DOB,BROOKLYN,55,BEST/Site Safety,63,0.873015873015873,0.21818181818181817,55,12.0,2017-05-30T00:26:49.336441,0.19047619047619047
57,DOB,BRONX,17,Special Projects Inspection Team (SPIT),29,0.5862068965517241,0.23529411764705882,17,12.0,2017-05-30T00:26:49.336441,0.13793103448275862
58,DOB,QUEENS,10,Cranes and Derricks,10,1.0,0.5,10,12.0,2017-05-30T00:26:49.336441,0.5
59,DOB,BRONX,4,Miscellaneous Categories,5,0.8,0.0,4,12.0,2017-05-30T00:26:49.336441,0.0
60,DOB,BROOKLYN,397,Plumbing,486,0.8168724279835391,0.33249370277078083,397,12.0,2017-05-30T00:26:49.336441,0.2716049382716049
61,DOB,BROOKLYN,199,Special Enforcement,317,0.6277602523659306,0.005025125628140704,199,12.0,2017-05-30T00:26:49.336441,0.0031545741324921135
62,DOB,BROOKLYN,16,Emergency Response Team (ERT),18,0.8888888888888888,0.3125,16,12.0,2017-05-30T00:26:49.336441,0.2777777777777778
63,DOB,MANHATTAN,188,Special Projects Inspection Team (SPIT),277,0.6787003610108303,0.1702127659574468,188,12.0,2017-05-30T00:26:49.336441,0.11552346570397111
64,DOB,QUEENS,1131,General Construction/Plumbing,1753,0.6451796919566457,0.39964633068081346,1131,12.0,2017-05-30T00:26:49.336441,0.25784369652025096
65,DOB,QUEENS,4,Special Natural Area District (SNAD),14,0.2857142857142857,0.0,4,12.0,2017-05-30T00:26:49.336441,0.0
66,DOB,STATEN ISLAND,9,Special Projects Inspection Team (SPIT),20,0.45,0.3333333333333333,9,12.0,2017-05-30T00:26:49.336441,0.15
67,DOB,MANHATTAN,3,Miscellaneous Categories,3,1.0,0.0,3,12.0,2017-05-30T00:26:49.336441,0.0
68,DOB,QUEENS,4,Scaffold Safety,6,0.6666666666666666,0.75,4,12.0,2017-05-30T00:26:49.336441,0.5
69,DOB,QUEENS,1125,Building/Use,3523,0.31933011637808684,0.08355555555555555,1125,12.0,2017-05-30T00:26:49.336441,0.026681805279591252
70,DOB,QUEENS,38,Boilers,44,0.8636363636363636,0.05263157894736842,38,12.0,2017-05-30T00:26:49.336441,0.045454545454545456
71,DOB,BROOKLYN,303,Electrical,320,0.946875,0.39603960396039606,303,12.0,2017-05-30T00:26:49.336441,0.375
